,match_id,player_slot,assists,deaths,denies,duration,tower_damage,gold_per_min,hero_damage,hero_id,last_hits,level,kills,xp_per_min,kda,hero_healing,abandons,win
7,6003375216,130,4,10,8,1827,0,646,19072,8,122,21,6,700,0,2094,0,0
8,6003375216,131,2,7,1,1827,0,198,6399,36,36,10,1,210,0,350,0,0
9,6003375216,132,2,7,4,1827,200,779,28087,105,150,24,11,892,1,0,0,0
0,6003375210,0,12,1,1,1367,3133,388,12289,19,80,14,3,452,7,0,0,1
1,6003375210,1,6,1,3,1367,4945,457,16600,82,108,16,9,589,7,0,0,1
2,6003375210,2,7,4,0,1367,1005,305,9650,14,31,12,5,337,2,784,0,1
3,6003375210,3,12,1,0,1367,648,340,30102,34,21,13,10,428,11,0,0,1
4,6003375210,4,5,3,6,1367,2297,374,5365,12,95,13,3,400,2,0,0,1
5,6003375210,128,1,1,4,1367,0,685,4644,54,45,11,2,317,1,0,0,0
6,6003375210,129,4,5,4,1367,296,437,13525,43,48,13,3,408,1,0,0,0
7,6003375210,130,3,7,1,1367,0,154,3274,86,3,7,0,141,0,0,1,0
8,6003375210,131,3,9,8,1367,793,268,2487,10,44,10,1,264,0,0,0,0
9,6003375210,132,2,10,14,1367,0,211,7982,68,21,8,1,199,0,0,0,0
0,6003375207,0,6,15,7,2081,97,438,15336,93,174,22,5,641,0,0,0,0
1,6003375207,1,16,10,9,2081,183,344,23044,75,59,20,10,549,2,0,0,0
2,6003375207,2,20,8,3,2081,802,532,57988,43,196,24,13,804,3,0,0,0
3,6003375207,3,17,12,11,2081,124,370,39307,86,103,23,5,699,1,400,0,0
4,6003375207,4,19,9,9,2081,133,430,55124,16,148,22,8,658,2,3289,0,0
5,6003375207,128,19,8,8,2081,1395,381,17095,5,56,21,6,591,2,0,0,1
6,6003375207,129,18,3,1,2081,11913,817,47762,42,303,28,21,1005,9,0,0,1
7,6003375207,130,7,11,5,2081,11908,623,28458,82,204,26,16,968,1,0,0,1
8,6003375207,131,17,8,20,2081,2510,496,27126,96,171,22,7,677,2,0,0,1
9,6003375207,132,15,12,1,2081,597,340,9868,97,61,21,3,591,1,400,0,1
0,6003375115,0,13,8,2,1727,3216,387,13541,49,81,19,5,616,2,0,0,1
1,6003375115,1,16,4,2,1727,219,326,20983,84,44,17,5,475,4,0,0,1
2,6003375115,2,5,5,10,1727,14694,715,43555,82,181,25,25,1021,5,0,0,1
3,6003375115,3,16,6,0,1727,958,345,16733,30,16,17,10,516,3,617,0,1
4,6003375115,4,11,2,2,1727,2950,484,12361,6,210,18,2,566,4,0,0,1
5,6003375115,128,9,7,8,1727,540,447,46305,36,112,20,8,672,2,2246,0,0
6,6003375115,129,6,14,0,1727,0,180,8035,71,15,12,1,288,0,800,0,0
7,6003375115,130,9,7,18,1727,1125,369,11630,54,142,16,3,463,1,0,0,0
8,6003375115,131,11,14,0,1727,459,337,28506,99,93,18,5,547,1,0,0,0
9,6003375115,132,12,5,4,1727,82,405,13622,44,127,18,8,555,3,0,0,0
0,6003375019,0,15,0,0,1644,1859,296,12745,84,43,15,0,431,15,0,0,1
1,6003375019,1,9,2,4,1644,2201,486,15269,21,126,19,9,611,6,0,0,1
2,6003375019,2,9,2,2,1644,1947,347,10831,5,46,14,5,373,4,568,0,1
3,6003375019,3,9,1,14,1644,17176,584,17329,54,162,18,9,572,9,0,0,1
4,6003375019,4,7,3,6,1644,4012,496,13784,96,150,16,5,472,3,0,0,1
5,6003375019,128,0,4,4,1644,549,334,6711,41,133,16,3,459,0,0,0,0
6,6003375019,129,2,2,1,1644,0,184,9365,110,6,9,2,192,1,1682,0,0
7,6003375019,130,4,11,4,1644,0,299,11092,29,97,13,0,321,0,0,0,0
8,6003375019,131,7,5,13,1644,0,276,11548,75,85,12,1,302,1,0,0,0
9,6003375019,132,3,7,0,1644,0,227,7115,64,43,12,2,308,0,0,0,0
0,6003375017,0,8,3,1,2016,252,457,18852,33,221,19,2,525,2,0,0,0
1,6003375017,1,9,13,0,2016,0,292,7231,3,16,15,4,330,0,800,0,0
2,6003375017,2,2,4,25,2016,2278,593,28738,10,229,26,10,856,2,0,0,0
3,6003375017,3,6,13,13,2016,29,378,11883,93,187,21,0,622,0,0,0,0
4,6003375017,4,6,15,9,2016,55,318,18750,47,129,16,1,367,0,0,0,0
5,6003375017,128,13,2,5,2016,13284,619,33471,25,229,26,13,863,8,345,0,1
6,6003375017,129,18,5,16,2016,7064,568,21386,104,234,22,6,681,4,180,0,1
7,6003375017,130,12,5,16,2016,5744,602,19112,44,241,24,9,778,3,400,0,1
8,6003375017,131,19,2,3,2016,370,426,21125,14,82,21,10,586,9,388,0,1
9,6003375017,132,22,3,2,2016,1879,358,14202,75,41,19,8,516,7,1132,0,1
0,6003375016,0,11,6,4,1652,0,265,15744,9,36,15,5,423,2,0,0,0
1,6003375016,1,5,11,7,1652,0,294,11273,29,92,13,1,337,0,0,0,0
2,6003375016,2,5,7,7,1652,426,424,20548,109,160,17,5,537,1,0,0,0
3,6003375016,3,11,9,5,1652,0,368,20528,17,87,19,8,604,1,0,0,0
4,6003375016,4,12,11,5,1652,0,231,10159,100,22,13,3,323,1,0,0,0
5,6003375016,128,19,6,0,1652,1191,300,10123,121,21,15,2,405,3,924,0,1
6,6003375016,129,16,8,0,1652,701,382,13604,14,45,17,9,539,2,4799,0,1
7,6003375016,130,16,3,24,1652,7845,529,22577,74,100,19,15,604,7,0,0,1
8,6003375016,131,19,6,9,1652,3601,493,23483,99,129,19,5,610,3,0,0,1
9,6003375016,132,16,1,7,1652,13344,680,22260,93,198,21,13,723,14,0,0,1
0,6003374912,0,10,3,5,1901,12225,647,29246,42,248,23,7,770,4,0,0,1
1,6003374912,1,18,5,5,1901,1979,494,14472,29,181,19,3,546,3,4511,0,1
2,6003374912,2,18,5,0,1901,719,353,13079,121,44,19,5,542,3,0,0,1
3,6003374912,3,6,3,12,1901,13583,656,28454,6,217,23,15,782,5,0,0,1
4,6003374912,4,18,4,0,1901,1446,287,11237,26,20,18,1,477,3,1532,0,1
5,6003374912,128,5,6,9,1901,2854,400,12515,95,242,18,1,490,0,368,0,0
6,6003374912,129,8,6,1,1901,55,236,9857,50,43,15,1,385,1,5555,0,0
7,6003374912,130,6,9,3,1901,28,236,9531,14,56,12,3,267,0,0,0,0
8,6003374912,131,2,4,14,1901,784,606,28450,11,295,23,13,779,3,0,0,0
9,6003374912,132,9,8,8,1901,2316,369,16339,96,200,18,2,494,1,0,0,0
0,6003374906,0,6,9,16,1903,694,304,10061,21,105,15,1,386,0,0,0,0
1,6003374906,1,3,12,6,1903,473,241,10968,128,39,12,3,256,0,962,0,0
2,6003374906,2,4,7,1,1903,733,294,8968,11,112,15,2,368,0,0,0,0
3,6003374906,3,2,9,11,1903,102,402,3730,93,186,17,1,460,0,0,0,0
4,6003374906,4,2,5,5,1903,395,373,14152,13,173,16,3,398,0,0,0,0
5,6003374906,128,15,3,10,1903,1973,526,17689,16,192,21,12,675,6,0,0,1
6,6003374906,129,17,2,3,1903,9461,517,12853,67,198,21,6,645,7,0,0,1
7,6003374906,130,12,0,1,1903,170,617,30491,34,254,22,10,678,22,411,0,1
8,6003374906,131,18,3,5,1903,1180,314,12148,121,63,18,3,492,5,1116,0,1
9,6003374906,132,14,2,8,1903,2799,479,13374,135,151,20,11,604,8,2694,0,1
0,6003374902,0,9,2,9,1538,2237,431,9015,50,75,16,6,488,5,6295,0,1
1,6003374902,1,3,2,4,1538,10110,737,34103,61,181,22,24,914,9,0,0,1
2,6003374902,2,18,3,1,1538,573,285,3040,57,14,13,0,381,4,2680,0,1
3,6003374902,3,4,4,5,1538,5378,520,10505,102,148,18,3,601,1,430,0,1
4,6003374902,4,19,5,9,1538,10479,604,28097,48,197,19,4,703,3,0,0,1
5,6003374902,128,7,10,10,1538,0,283,19678,75,49,13,6,363,1,0,0,0
6,6003374902,129,5,7,0,1538,0,318,4683,54,108,13,1,347,0,0,0,0
7,6003374902,130,6,8,6,1538,0,306,13853,14,85,15,5,435,1,0,0,0
8,6003374902,131,11,7,12,1538,0,298,6316,41,86,12,2,309,1,0,0,0
9,6003374902,132,9,6,6,1538,435,280,17633,83,81,15,2,437,1,2606,0,0
0,6003374815,0,19,8,3,2053,571,326,14331,33,20,18,6,444,2,0,0,1
1,6003374815,1,27,3,6,2053,3803,522,20021,2,155,24,13,778,10,0,0,1
2,6003374815,2,17,3,9,2053,17163,794,48383,25,205,27,32,978,12,0,0,1
3,6003374815,3,17,7,1,2053,6272,408,11853,42,140,20,5,528,2,0,0,1
4,6003374815,4,32,7,11,2053,1593,378,10056,50,55,21,4,604,4,11312,0,1
5,6003374815,128,12,8,8,2053,540,473,38697,16,176,22,9,687,2,0,0,0
6,6003374815,129,10,11,5,2053,218,229,17114,30,34,16,1,376,0,0,0,0
7,6003374815,130,5,13,0,2053,553,264,10320,129,71,15,5,344,0,0,0,0
8,6003374815,131,7,14,15,2053,1863,382,21889,53,146,19,7,482,0,0,0,0
9,6003374815,132,10,17,6,2053,205,254,11984,11,44,15,5,339,0,0,0,0
0,6003374706,0,29,8,2,1878,1057,358,24114,19,45,20,6,585,3,0,0,1
1,6003374706,1,12,8,8,1878,11523,524,27055,25,146,20,12,602,2,0,0,1
2,6003374706,2,14,4,2,1878,2096,431,20434,98,89,20,11,608,5,400,0,1
3,6003374706,3,11,3,11,1878,5731,640,31840,70,239,25,11,912,5,0,0,1
4,6003374706,4,27,5,8,1878,1678,462,30033,40,101,20,11,579,6,246,0,1
5,6003374706,128,11,6,9,1878,2662,437,23883,104,130,20,9,609,2,780,0,0
6,6003374706,129,7,12,20,1878,0,395,15843,74,125,17,6,441,1,0,0,0
7,6003374706,130,13,16,0,1878,0,206,14232,107,9,13,2,312,0,0,0,0
8,6003374706,131,10,10,5,1878,635,257,8956,27,25,16,3,427,1,0,0,0
9,6003374706,132,9,7,7,1878,772,446,18058,95,177,19,6,571,1,0,0,0
0,6003374608,0,19,3,23,2097,9409,651,35190,9,245,25,17,841,9,0,0,1
1,6003374608,1,18,5,21,2097,3780,485,13894,32,150,21,7,579,4,0,0,1
2,6003374608,2,17,1,11,2097,9770,601,17634,49,240,24,7,804,12,0,0,1
3,6003374608,3,23,8,4,2097,3118,553,19717,62,44,21,13,596,4,0,0,1
4,6003374608,4,23,6,0,2097,436,434,21920,84,74,22,6,634,4,400,0,1
5,6003374608,128,13,10,0,2097,0,275,19389,86,31,19,4,482,1,0,0,0
6,6003374608,129,6,17,0,2097,264,306,17495,25,45,18,8,462,0,800,0,0
7,6003374608,130,5,5,4,2097,1474,594,36518,94,361,24,4,798,1,0,0,0
8,6003374608,131,10,10,9,2097,445,337,13981,28,105,16,5,354,1,0,0,0
9,6003374608,132,8,9,0,2097,396,325,12432,67,140,18,1,446,0,0,0,0
0,6003374606,0,15,1,0,1708,1165,361,10613,9,67,16,2,442,8,0,0,1
1,6003374606,1,4,1,8,1708,8443,784,33319,99,290,25,13,1020,8,0,0,1
2,6003374606,2,11,6,0,1708,191,269,7792,14,21,16,3,451,2,640,0,1
3,6003374606,3,5,3,12,1708,513,471,13321,17,179,18,7,576,3,0,0,1
4,6003374606,4,4,3,11,1708,7898,486,9845,8,184,18,4,568,2,4645,0,1
5,6003374606,128,7,4,12,1708,19,339,10177,36,123,15,3,419,2,1914,0,0
6,6003374606,129,5,5,4,1708,0,296,8535,19,89,15,4,394,1,0,0,0
7,6003374606,130,3,6,4,1708,0,233,7533,68,44,14,4,354,1,0,0,0
8,6003374606,131,0,6,0,1708,0,360,4862,54,172,16,0,435,0,0,0,0
9,6003374606,132,5,8,7,1708,0,285,14692,101,75,14,3,382,0,0,0,0
0,6003374601,0,12,6,1,2141,9025,595,26850,97,242,24,13,754,3,0,0,1
1,6003374601,1,14,7,7,2141,2308,491,17924,2,133,23,10,689,3,0,0,1
2,6003374601,2,12,2,0,2141,1699,535,39056,105,183,23,11,694,7,0,0,1
3,6003374601,3,21,8,0,2141,546,313,31665,84,21,20,4,543,2,400,0,1
4,6003374601,4,15,4,11,2141,17461,598,16167,6,284,23,4,685,3,400,0,1
5,6003374601,128,11,10,5,2141,2489,304,15362,27,60,19,4,468,1,0,0,0
6,6003374601,129,17,11,3,2141,2091,328,16108,49,70,18,5,451,1,0,0,0
7,6003374601,130,8,6,6,2141,298,562,19738,8,297,23,7,719,2,4527,0,0
8,6003374601,131,12,6,3,2141,319,501,17884,129,273,23,4,696,2,933,0,0
9,6003374601,132,9,9,12,2141,107,267,13749,81,81,18,2,426,1,0,0,0
0,6003374502,0,12,4,4,1685,1253,291,11306,100,38,14,2,392,2,0,0,1
1,6003374502,1,16,1,6,1685,1097,293,7641,27,82,15,0,416,8,0,0,1
2,6003374502,2,2,4,18,1685,4971,540,22889,76,166,19,14,610,3,0,0,1
3,6003374502,3,18,4,3,1685,3818,434,14262,96,170,19,1,603,3,0,0,1
4,6003374502,4,7,2,28,1685,10978,710,19536,4,275,21,11,723,6,0,0,1
5,6003374502,128,5,9,3,1685,186,242,9438,128,39,11,3,259,0,800,0,0
6,6003374502,129,4,1,6,1685,0,323,6420,16,111,15,1,430,2,0,0,0
7,6003374502,130,9,6,7,1685,726,359,12770,49,129,15,3,431,1,0,0,0
8,6003374502,131,1,3,8,1685,2049,592,20549,42,288,19,5,602,1,0,0,0
9,6003374502,132,9,9,0,1685,126,267,9626,120,45,13,2,343,1,0,0,0
0,6003374408,0,15,3,9,1669,3873,342,11039,74,71,17,1,512,4,0,0,1
1,6003374408,1,10,0,15,1669,10266,617,19419,6,223,20,9,654,19,400,0,1
2,6003374408,2,20,1,18,1669,7522,480,13092,60,103,20,7,661,13,0,0,1
3,6003374408,3,9,2,6,1669,7352,659,23719,17,203,21,18,709,9,138,0,1
4,6003374408,4,13,2,3,1669,1912,341,11102,25,46,15,2,417,5,0,0,1
5,6003374408,128,5,8,1,1669,0,275,11864,104,94,14,1,389,0,0,0,0
6,6003374408,129,1,5,10,1669,828,336,6061,8,165,15,0,397,0,972,0,0
7,6003374408,130,4,9,0,1669,0,296,6774,70,61,13,3,323,0,0,0,0
8,6003374408,131,2,6,5,1669,35,339,12159,96,129,15,4,437,0,0,0,0
9,6003374408,132,3,11,2,1669,389,188,7042,50,38,10,0,231,0,1511,0,0
0,6003374405,0,30,2,15,2147,8065,603,38460,4,241,26,7,848,12,0,0,1
1,6003374405,1,14,4,11,2147,3988,655,45448,126,213,25,21,839,7,0,0,1
2,6003374405,2,29,1,6,2147,9828,606,31290,114,238,26,13,876,21,0,0,1
3,6003374405,3,20,11,1,2147,0,360,18372,14,59,21,7,580,2,240,0,1
4,6003374405,4,35,6,6,2147,3923,479,31795,64,91,23,9,691,6,0,0,1
5,6003374405,128,6,9,16,2147,54,423,25550,19,195,21,4,574,1,0,0,0
6,6003374405,129,7,13,12,2147,739,325,23362,72,95,20,6,514,0,0,0,0
7,6003374405,130,7,7,3,2147,166,643,23489,73,288,23,2,695,1,0,0,0
8,6003374405,131,8,13,11,2147,0,324,23550,99,91,16,6,374,1,0,0,0
9,6003374405,132,8,18,7,2147,0,271,13760,25,66,14,4,294,0,400,0,0
